source, target, time
0,277,1385982020
0,277,1385982040
0,277,1385982060
0,21,1385982060
0,277,1385982080
0,21,1385982080
0,277,1385982100
0,241,1385982120
0,277,1385982120
0,241,1385982140
0,277,1385982140
0,241,1385982160
0,277,1385982160
0,241,1385982180
0,277,1385982180
0,241,1385982200
0,277,1385982200
0,241,1385982220
0,277,1385982220
0,241,1385982240
0,277,1385982240
0,241,1385982260
0,277,1385982260
0,277,1385982280
0,277,1385982300
0,242,1385982320
0,264,1385982320
0,219,1385982320
0,76,1385982340
0,264,1385982340
0,98,1385982380
0,43,1385982380
0,21,1385982400
0,180,1385982420
0,77,1385982440
0,180,1385982440
0,77,1385982460
0,214,1385983100
0,292,1385983120
0,180,1385983140
0,180,1385983160
0,180,1385983180
0,43,1385983200
0,180,1385983200
0,72,1385983240
0,180,1385983240
0,72,1385983280
0,72,1385983300
0,180,1385983300
0,72,1385983320
0,180,1385983320
0,180,1385983380
0,180,1385983420
0,180,1385983460
0,180,1385983500
0,180,1385983520
0,180,1385983560
0,72,1385983600
0,72,1385983620
0,180,1385983620
0,180,1385983640
0,72,1385983660
0,180,1385983660
0,72,1385983680
0,72,1385983700
0,43,1385983720
0,180,1385983720
0,72,1385983740
0,180,1385983740
0,72,1385983760
0,180,1385983760
0,72,1385983780
0,72,1385983800
0,72,1385983820
0,72,1385983840
0,132,1385983860
0,72,1385983860
0,72,1385983880
0,180,1385983880
0,180,1385983940
0,180,1385983960
0,72,1385984000
0,180,1385984000
0,72,1385984020
0,43,1385984020
0,180,1385984020
0,180,1385984040
0,180,1385984060
0,72,1385984080
0,180,1385984080
0,180,1385984100
0,180,1385984160
0,180,1385984180
0,180,1385984200
0,180,1385984220
0,180,1385984240
0,43,1385984280
0,72,1385984400
0,98,1385984420
0,72,1385984420
0,72,1385984440
0,98,1385984440
0,180,1385984440
0,98,1385984460
0,180,1385984460
0,43,1385984480
0,43,1385984500
0,43,1385984520
0,43,1385984540
0,180,1385984540
0,43,1385984560
0,180,1385984560
0,72,1385984600
0,43,1385984600
0,180,1385984600
0,60,1385984620
0,43,1385984620
0,60,1385984640
0,277,1385984640
0,268,1385984640
0,261,1385984640
0,43,1385984660
0,43,1385984700
0,43,1385984720
0,180,1385984720
0,43,1385984740
0,43,1385984760
0,72,1385984780
0,72,1385984800
0,72,1385984820
0,72,1385984840
0,72,1385984860
0,72,1385984880
0,43,1385984880
0,72,1385984900
0,72,1385984920
0,72,1385984940
0,72,1385984960
0,180,1385985180
0,39,1385985260
0,39,1385985280
0,180,1385985280
0,180,1385985300
0,72,1385985580
0,72,1385985600
0,72,1385985620
0,72,1385985640
0,180,1385985640
0,180,1385985680
0,180,1385985700
0,180,1385985780
0,180,1385985800
0,77,1385985820
0,39,1385985860
0,180,1385985880
0,77,1385985940
0,25,1385985940
0,77,1385985960
0,98,1385986020
0,261,1385986020
0,277,1385986080
0,277,1385986100
0,77,1385986140
0,77,1385986160
0,77,1385986180
0,77,1385986200
0,180,1385986200
0,77,1385986280
0,77,1385986300
0,77,1385986400
0,77,1385986420
0,77,1385986980
0,77,1385987000
0,180,1385987000
0,77,1385987020
0,180,1385987020
0,77,1385987040
0,180,1385987040
0,77,1385987060
0,21,1385987100
0,77,1385987120
0,77,1385987140
0,180,1385987140
0,21,1385987140
0,77,1385987160
0,180,1385987160
0,21,1385987160
0,77,1385987180
0,180,1385987180
0,21,1385987180
0,77,1385987200
0,180,1385987200
0,21,1385987200
0,77,1385987220
0,180,1385987220
0,77,1385987240
0,77,1385987260
0,77,1385987280
0,77,1385987300
0,77,1385987440
0,77,1385987460
0,77,1385987480
0,77,1385988000
0,77,1385988060
0,77,1385988080
0,77,1385988180
0,77,1385988200
0,77,1385988220
0,77,1385988240
0,77,1385988280
0,77,1385988300
0,77,1385988460
0,77,1385989800
0,39,1385989900
0,132,1385989900
0,37,1385989900
0,25,1385989900
0,241,1385989920
0,277,1385989920
0,180,1385989920
0,241,1385989940
0,277,1385989940
0,277,1385989960
0,277,1385989980
0,277,1385990000
0,180,1385990000
0,277,1385990020
0,277,1385990040
0,77,1385990040
0,73,1385990040
0,277,1385990060
0,77,1385990060
0,277,1385990080
0,277,1385990100
0,77,1385990100
0,277,1385990120
0,180,1385990120
0,277,1385990140
0,180,1385990140
0,60,1385990160
0,277,1385990160
0,180,1385990160
0,180,1385990180
0,277,1385990200
0,60,1385990220
0,277,1385990220
0,180,1385990220
0,277,1385990240
0,180,1385990240
0,277,1385990260
0,180,1385990260
0,277,1385990280
0,180,1385990280
0,180,1385990300
0,277,1385990320
0,277,1385990340
0,180,1385990340
0,277,1385990360
0,180,1385990360
0,277,1385990380
0,180,1385990380
0,180,1385990400
0,277,1385990420
0,180,1385990420
0,277,1385990440
0,180,1385990440
0,268,1385990460
0,180,1385990460
0,180,1385990480
0,180,1385990500
0,277,1385990520
0,277,1385990620
0,277,1385990660
0,180,1385990900
0,180,1385990920
0,277,1385991120
0,180,1385991200
0,180,1385991220
0,180,1385991240
0,180,1385991260
0,277,1385991280
0,180,1385991280
0,180,1385991300
0,180,1385991320
0,180,1385991340
0,277,1385991360
0,180,1385991360
0,180,1385991380
0,277,1385991400
0,180,1385991400
0,277,1385991420
0,180,1385991420
0,277,1385991440
0,180,1385991440
0,277,1385991460
0,180,1385991460
0,180,1385991480
0,277,1385991500
0,180,1385991500
0,277,1385991520
0,180,1385991600
0,180,1385991640
0,277,1385991660
0,180,1385991760
0,180,1385991780
0,180,1385991860
0,180,1385991880
0,180,1385991900
0,180,1385991920
0,180,1385991940
0,180,1385991960
0,180,1385991980
0,180,1385992080
0,60,1385992120
0,277,1385992120
0,277,1385992140
0,277,1385992240
0,277,1385992260
0,180,1385992260
0,277,1385992280
0,277,1385992300
0,277,1385992320
0,277,1385992340
0,180,1385992340
0,277,1385992360
0,277,1385992380
0,180,1385992380
0,277,1385992400
0,180,1385992400
0,268,1385992440
0,180,1385992480
0,180,1385992500
0,180,1385992540
0,60,1385992580
0,60,1385992600
0,77,1385992600
0,180,1385992600
0,180,1385992620
0,180,1385992640
0,180,1385992680
0,73,1385992720
0,277,1385992760
0,277,1385992780
0,277,1385992800
0,277,1385992820
0,277,1385992840
0,277,1385992860
0,277,1385992940
0,277,1385992960
0,277,1385992980
0,180,1385992980
0,277,1385993000
0,277,1385993040
0,277,1385993060
0,277,1385993080
0,277,1385993100
0,277,1385993180
0,277,1385993200
0,277,1385993240
0,277,1385993400
0,277,1385993420
