"C" "E" "G" "N" "V" "W"
48.8280032108215 51.4827879379223 42.6417501402213 54.0962254248799 42.9638244440372 41.955272299607
48.8536095505281 73.4275634896762 40.9745393260812 60.0687404744825 65.2896068976029 48.9610586096504
67.0086950529242 71.0966078360781 52.5241514401561 51.6446956923098 63.2212910965747 62.0337435214789
37.8345062270031 49.3320709279351 56.1502585380496 49.0054058877006 47.7508134580196 38.7733594306312
55.3046157768715 49.2713566985825 63.5453439363289 54.6215492562969 60.5699951228151 56.6632113511469
56.1235344576714 48.7154279560592 66.0231854297328 43.9518217105994 55.537296241917 52.3877380869507
31.1917872830975 44.1239367571772 54.4320363938106 52.3361231350651 37.2523814778171 39.7893457851867
39.3415401481185 40.6475993764447 52.1140585098591 38.3111525239779 46.1769686970271 45.4215832662577
67.2815343907851 57.6853188866151 46.4766280874954 63.5784816163044 61.0513047922683 57.2416594386511
49.6907692636742 61.8175829140065 65.2620176443349 35.5288254625953 61.0320350456276 54.4748111655387
61.9068849623001 30.9036649493613 65.1865403181036 64.1932004298545 33.9920698350056 49.7625691376843
40.1058387887208 57.5822183891718 62.3117584250295 47.176639090633 57.4276136331873 48.3483469325349
52.4342286203172 49.5143019654201 46.5869434483142 50.4962558603316 46.0867713964678 42.7785998700471
38.80029033065 53.8259165657093 53.4801925362246 31.1192529283264 50.7657196702056 37.0124254464969
49.1027126094974 57.4556642996022 51.0337801098807 61.3242171403614 56.1016232612825 46.7894170922832
37.2830912478127 47.8089165114664 53.4605626300338 34.3073837573714 45.6986111145197 48.3464492465852
33.9621800997401 37.9803355311742 51.7585444225714 58.2513543761048 36.9705250099567 43.7817265285561
46.8263464935738 55.0248705686406 59.9947810165095 63.7483246073338 58.8804038091298 45.4463278899665
27.0329003600325 41.8803741180924 33.4559401506457 34.6514490535434 38.4356934609521 31.7586235673716
47.0323220283239 39.8564333326179 35.566902425121 57.2097827958089 30.6945345639665 50.1890488232319
53.9701608211549 56.3952409165753 51.8435328093381 47.5473081396434 63.3491969610044 52.2899481039181
47.2377672840431 51.062931070142 48.1307745386981 41.270756613916 40.3744909859608 43.5773025139848
46.0930538849986 31.715210337064 49.4699682401106 51.7562887763909 37.6630859335484 45.0146745206536
58.8647267008985 51.5165149919893 56.7699652152029 51.6354384754312 49.0087479182316 59.5404196744693
71.1356811613038 65.0997188352915 67.2128012825618 58.4237239678963 72.7561478740446 74.6587531717205
69.6094745409339 71.2051411720204 61.5726732932758 44.4694754286814 74.9720182375339 83.0747524518107
51.5010515251215 63.6906610485103 49.7920087331385 42.4718214551239 54.9029335274559 53.0327530494597
49.2585853843867 38.4515972754202 53.0526505064194 45.4146256037011 40.3682632428514 39.706831831762
52.3531912421815 67.1591538411121 50.1921551302449 41.2548832776406 65.2807441215534 60.8587501932586
55.3203310907736 64.404507970958 46.5152582051228 60.1397391786329 67.8921672168185 54.5818817046172
61.194274971667 51.4058291840574 67.2528724423703 40.8994012961582 53.8242602167295 52.9652526249269
57.4543569245282 57.3792049399126 48.8582021395483 48.8269520014945 50.7390060450614 54.9182375011356
50.048054909039 44.6222184081824 45.2331548416756 43.475542117984 39.8779881091395 52.748497918841
45.1946238371661 47.0484857882195 61.7492289185521 59.5559993466646 59.5809787474129 50.6307231216394
58.7712736288665 48.2420403673548 58.7798073143618 61.5639591513598 50.4276106501494 49.1835244115068
49.8835290799137 43.5984280913759 38.9710436139192 52.7513062298997 40.3302469285946 47.2179804891321
52.5105158223497 61.6142794070051 40.5826188516754 54.8789075501881 56.7904800421762 49.6534162837911
56.2393346915021 62.6623825486405 49.8801698317726 50.2821917589817 67.2390807161852 52.0758354795114
55.7044163086192 62.506959461179 50.4414184175436 55.6048310499406 65.0847621549252 56.1441168349387
70.0593345191113 48.8012885396658 51.9493946655971 50.8013627139343 56.360421819868 57.3511397070405
39.4497315436867 44.7030631898687 42.8913001514766 51.7200656075198 44.4396603989422 47.4786281615681
48.3495182001887 43.4231970003563 53.049153547285 54.3225064943878 40.3786046608079 39.8288366035826
46.191445038166 45.5666727209725 56.5927065297561 54.1987472257224 45.8252205263455 39.5813919280451
53.2584292822982 61.7179186993792 39.0460123087218 58.3437370010535 59.9292685197995 49.4153769436902
59.5328742219194 61.910004521023 56.3624058621349 62.0255112655122 58.8314831503415 57.0818250538772
46.818649075282 37.382336547223 55.2173521505695 52.3819506392223 46.9718532682886 55.3080827838983
65.708787818134 39.0058881196925 54.0860279160982 62.7442676082061 40.5586600996634 49.9419333915274
45.2950815353283 52.1911718180087 44.2517157963709 51.1257971249731 43.0497337979448 48.9158097623559
43.6616384722197 40.1471339941213 63.2776365080969 50.6149710673181 44.6250732203843 44.7139732795439
52.7465087618718 53.629896163052 44.3417458234731 35.0885212638446 48.2750035118476 46.1405369448892
54.2298012517517 59.7533249787992 30.2300884592615 57.5008629443128 48.3822389776175 56.3037416556373
51.0983198380313 43.3192679852206 61.7169515022026 43.8648680094923 61.4564116139315 54.2159249618409
49.8358431573806 47.4471593434138 71.5963531433849 38.438913277648 60.3868008002291 63.3198991525454
52.5786950065767 62.6663349758399 39.4863065379592 41.6191723016719 60.9717321959557 50.4958936989368
51.3694353256579 46.2262260810073 52.914233568063 56.0148899532217 47.1578159843478 47.8558504376151
60.111550203499 61.168653797165 47.6354663950621 38.1682484435861 60.2198915236636 63.4073634677049
55.2650867978638 57.2827501722869 43.9694665115925 56.4125005967726 53.4035636727022 58.8008118897159
60.5645926985347 56.9204063066453 50.1223428734007 47.5097912821137 52.5292084795723 52.2245325150363
50.5280960755592 41.0131062504856 48.3131719353238 54.5885863544371 47.0666151547592 51.339491615839
51.4450283620481 52.5581592969161 51.0862144915048 36.6934778255777 48.2844936722698 54.8016658257724
48.7889129013491 12.9359432070246 41.5760103965055 48.0618348279241 17.0211991194536 25.5672162519998
43.6329338543962 48.2309816461342 51.0372594887347 37.7164324287532 55.1994575833543 49.3159051208095
55.4060694502048 44.7056834724295 57.7162745329603 40.6307829825115 57.0830629819526 73.7293727521789
49.4504881497723 48.3699029737415 57.4955381944936 52.3158539878484 47.0008715127561 44.4141037907049
49.650785039862 47.0730076492732 55.8834142262688 48.4901507710623 39.2404840187408 49.3149371627673
40.5678791470918 27.3821740566946 62.8664818853219 42.2393285103288 49.9520423604041 45.3648308065607
51.3912964461013 57.4628051356355 60.675522670925 55.6830802941232 68.2918185586477 45.2456922258011
52.9605786777358 44.3073775232666 79.6981135706089 38.7073353376504 53.2472248711774 44.6706745227497
59.7974869696083 53.0761630082746 50.0527683229921 65.631607788829 50.8829706735542 61.6662702344025
44.9589338267032 52.4609360364628 42.9286660888377 43.1675022050161 36.9504708822889 48.0332443862268
37.5395834162112 47.1143864358326 43.4931920056343 42.1708957035586 41.9472063754173 43.0385156560892
46.752671709023 50.4883658470615 46.1373285397413 45.1015552118986 48.6418841190955 46.8186507475273
69.3604734488429 56.0718914889668 40.2425249056125 48.6224916600307 48.1434684203738 63.1633792590871
54.7096034949778 36.7630404654785 41.3998622342176 58.1247704214391 41.7953630543751 52.3728407007971
35.0308935908266 42.0922819808005 42.8068548224949 46.1217660036223 39.5460719227679 38.8958303018042
27.2731208850578 46.5807286457028 32.9056976559256 53.4741910444309 50.1805141045217 32.538481934635
63.424873249524 44.7539833343666 54.6826453670649 54.0201304468699 48.7941906659389 46.7954641150431
39.4276361619734 51.7507049246805 57.9210303101718 23.4739282748057 54.5414211268343 62.754612430475
49.6686349794613 55.9940777830654 42.3082049442523 57.746797935948 47.4664505400479 45.3576537012433
41.1656171679302 63.5676676055459 31.0482211803611 61.771860495705 47.5683118744175 48.240055232293
43.4225304563244 46.3571015871566 52.7834611654507 38.5660118789705 55.4761682217488 50.5620234106365
54.9534467171191 54.7106183005415 50.5011618402256 55.646756877895 51.5046697362369 42.6389125067857
53.8030282983123 56.8980923658094 55.1118109355968 37.1707756894891 53.6710848677541 56.2981728389922
50.5217821725543 37.8009031353495 51.0161543616885 45.1736134020646 35.6800033069393 42.1440376829665
49.2321135765038 71.031634959862 57.1398900965981 44.7318114791185 60.6925523047135 58.5105265007843
47.6667113268418 39.3201285116272 50.3674708693763 42.3358327412629 46.5683155595587 51.6039092150899
59.2925761692355 32.5758381364587 46.8083835895083 57.2299212955966 34.5399152370249 49.2658477024497
62.1943714251844 62.7482226299478 40.1776863525945 55.1766625309739 49.9239835553583 50.6454560078925
48.7669063309003 46.083463182095 56.5877534284595 50.0877394833105 48.6745985349769 41.9123571084275
47.3035903585525 55.3834240337742 38.451723268598 55.7589320367492 42.823098749439 41.73952375943
41.8218436946195 42.189435921079 45.6975921767484 42.5685041313037 40.8186990015733 42.5091711072096
40.3369466386089 62.3408948817612 36.267443461495 46.7661270425125 42.7397145758123 39.4931940194776
58.6560438806284 62.4050967217224 51.8251082610513 47.9513005384162 62.0870486380437 59.0958580617985
66.732078531589 77.9616146910924 40.9873133424807 45.5406093440221 61.3379372776002 60.5761648410894
53.9750859358199 62.1561845624465 53.4308157245291 43.8888060816605 56.7190539054859 55.4190888461541
67.521337641746 61.1358820329756 61.9756022179545 55.0870868369325 69.826430818967 63.2413052774062
52.4626766947665 75.9987028012072 54.3413615718943 47.3805009588885 71.4465909410767 48.299457649156
59.6025365943241 41.6109394652846 61.396572700323 51.0960681675316 47.0722425333641 51.3332877729097
59.2362885776914 66.8305897025743 47.5145665324936 56.2899706604937 70.2531352072834 67.9387470968739
58.688641292672 61.8756306523814 70.1109220448737 34.350394150406 77.2765255719505 76.9759788166812
56.3526624993923 43.9111589972906 52.9839376018835 65.247661079621 45.379687246247 56.4880814075735
60.5839673989413 61.4772143299997 37.4213485473056 78.692732527673 55.5985501286255 51.3671649493862
46.1547212294862 59.0269955444853 32.3714385082193 60.0908503573715 54.523251792527 45.622670423454
45.8257184233606 57.0578671772856 40.4947040094856 55.0664325403678 47.8942854615252 49.1321245981273
44.685713273554 29.2290424520857 61.8565818456367 64.0010456803188 39.9549501208595 42.8964642096605
47.4817204266364 44.5568277508282 53.5517080640679 52.4115906127724 42.268324685498 48.0388469192918
40.0691013355893 32.6870270265344 37.8126398040694 40.4540959958099 33.4412117145521 44.4752284875226
56.8348334252631 42.7894192652772 63.2437492074491 38.5496983340504 47.3012044705519 49.613394203601
54.4770347291721 38.573130466997 45.9777203219315 50.5014467792381 42.2531951140732 52.3350785210672
54.4289640032413 47.9119532499042 65.9485261843068 59.3630600661261 55.6234442469484 55.5447875665204
53.5756016502322 47.6299082551228 52.2223683989043 55.4573420313344 57.4398596659569 64.2177977128349
50.0946796059697 53.3954445201598 65.2209211695261 48.4233552700139 55.1430059868904 49.8622820977261
33.9473127760865 67.536086224235 37.2087014141564 55.7157664957002 53.3613819735104 40.330377764698
49.0921587206857 42.3330225286762 37.3378246955516 47.6500699199009 39.0147439083066 46.2239261609658
52.728206797159 56.3434965695451 45.0392657307216 49.0361228345193 51.3848778873526 54.3334563709712
56.8346513109059 56.1346392821288 69.7366262375724 52.4570497032984 63.8037570645124 45.9269093457911
50.8742784677585 38.1952423919356 47.3170238594849 40.0252948160687 40.5851797277896 47.8118492413617
62.5499334271959 63.2566540970886 75.3581022309422 55.7603096138361 74.4189673467195 75.1123663503503
